Notes,Year,Year Code,Age Groups,Age Groups Code,Sex,Sex Code,Count,Population,Crude Rate
,1999,1999.0,30-34 years,30-34,Female,F,21,10131068,0.2
,1999,1999.0,30-34 years,30-34,Male,M,30,10240023,0.3
,1999,1999.0,35-39 years,35-39,Female,F,57,11335710,0.5
,1999,1999.0,35-39 years,35-39,Male,M,101,11275914,0.9
,1999,1999.0,40-44 years,40-44,Female,F,133,11057798,1.2
,1999,1999.0,40-44 years,40-44,Male,M,209,10866874,1.9
,1999,1999.0,45-49 years,45-49,Female,F,297,9864954,3.0
,1999,1999.0,45-49 years,45-49,Male,M,345,9548921,3.6
,1999,1999.0,50-54 years,50-54,Female,F,425,8540542,5.0
,1999,1999.0,50-54 years,50-54,Male,M,526,8178348,6.4
,1999,1999.0,55-59 years,55-59,Female,F,566,6680872,8.5
,1999,1999.0,55-59 years,55-59,Male,M,715,6241758,11.5
,1999,1999.0,60-64 years ,60-64,Female,F,695,5538848,12.5
,1999,1999.0,60-64 years ,60-64,Male,M,895,5012696,17.9
,1999,1999.0,65-69 years,65-69,Female,F,927,5073442,18.3
,1999,1999.0,65-69 years,65-69,Male,M,1104,4342941,25.4
,1999,1999.0,70-74 years,70-74,Female,F,1130,4918966,23.0
,1999,1999.0,70-74 years,70-74,Male,M,1315,3844898,34.2
,1999,1999.0,75-79 years,75-79,Female,F,1191,4276338,27.9
,1999,1999.0,75-79 years,75-79,Male,M,1212,2974973,40.7
,1999,1999.0,80-84 years,80-84,Female,F,956,3039863,31.4
,1999,1999.0,80-84 years,80-84,Male,M,852,1780402,47.9
,1999,1999.0,85+ years,85+,Female,F,777,2918829,26.6
,1999,1999.0,85+ years,85+,Male,M,519,1177073,44.1
,2000,2000.0,30-34 years,30-34,Female,F,18,10075949,0.2
,2000,2000.0,30-34 years,30-34,Male,M,41,10213230,0.4
,2000,2000.0,35-39 years,35-39,Female,F,70,11220940,0.6
,2000,2000.0,35-39 years,35-39,Male,M,106,11162000,0.9
,2000,2000.0,40-44 years,40-44,Female,F,154,11212451,1.4
,2000,2000.0,40-44 years,40-44,Male,M,206,11032914,1.9
,2000,2000.0,45-49 years,45-49,Female,F,275,10139929,2.7
,2000,2000.0,45-49 years,45-49,Male,M,380,9832225,3.9
,2000,2000.0,50-54 years,50-54,Female,F,444,8966667,5.0
,2000,2000.0,50-54 years,50-54,Male,M,640,8596817,7.4
,2000,2000.0,55-59 years,55-59,Female,F,637,6922269,9.2
,2000,2000.0,55-59 years,55-59,Male,M,763,6476836,11.8
,2000,2000.0,60-64 years ,60-64,Female,F,694,5620799,12.3
,2000,2000.0,60-64 years ,60-64,Male,M,888,5099354,17.4
,2000,2000.0,65-69 years,65-69,Female,F,944,5057099,18.7
,2000,2000.0,65-69 years,65-69,Male,M,1158,4341762,26.7
,2000,2000.0,70-74 years,70-74,Female,F,1229,4885847,25.2
,2000,2000.0,70-74 years,70-74,Male,M,1351,3860732,35.0
,2000,2000.0,75-79 years,75-79,Female,F,1279,4327077,29.6
,2000,2000.0,75-79 years,75-79,Male,M,1238,3020236,41.0
,2000,2000.0,80-84 years,80-84,Female,F,982,3090837,31.8
,2000,2000.0,80-84 years,80-84,Male,M,900,1830504,49.2
,2000,2000.0,85+ years,85+,Female,F,844,2983941,28.3
,2000,2000.0,85+ years,85+,Male,M,579,1219319,47.5
,2001,2001.0,30-34 years,30-34,Female,F,24,10166748,0.2
,2001,2001.0,30-34 years,30-34,Male,M,48,10295643,0.5
,2001,2001.0,35-39 years,35-39,Female,F,74,11035791,0.7
,2001,2001.0,35-39 years,35-39,Male,M,108,10994295,1.0
,2001,2001.0,40-44 years,40-44,Female,F,159,11390611,1.4
,2001,2001.0,40-44 years,40-44,Male,M,208,11210629,1.9
,2001,2001.0,45-49 years,45-49,Female,F,311,10404182,3.0
,2001,2001.0,45-49 years,45-49,Male,M,377,10097191,3.7
,2001,2001.0,50-54 years,50-54,Female,F,472,9449057,5.0
,2001,2001.0,50-54 years,50-54,Male,M,636,9058366,7.0
,2001,2001.0,55-59 years,55-59,Female,F,611,7138713,8.6
,2001,2001.0,55-59 years,55-59,Male,M,789,6694290,11.8
,2001,2001.0,60-64 years ,60-64,Female,F,650,5773027,11.3
,2001,2001.0,60-64 years ,60-64,Male,M,1033,5247854,19.7
,2001,2001.0,65-69 years,65-69,Female,F,903,5080378,17.8
,2001,2001.0,65-69 years,65-69,Male,M,1215,4382955,27.7
,2001,2001.0,70-74 years,70-74,Female,F,1219,4858423,25.1
,2001,2001.0,70-74 years,70-74,Male,M,1382,3875837,35.7
,2001,2001.0,75-79 years,75-79,Female,F,1305,4336371,30.1
,2001,2001.0,75-79 years,75-79,Male,M,1320,3050131,43.3
,2001,2001.0,80-84 years,80-84,Female,F,982,3180706,30.9
,2001,2001.0,80-84 years,80-84,Male,M,916,1910356,47.9
,2001,2001.0,85+ years,85+,Female,F,874,3020999,28.9
,2001,2001.0,85+ years,85+,Male,M,618,1249573,49.5
,2002,2002.0,30-34 years,30-34,Female,F,22,10172399,0.2
,2002,2002.0,30-34 years,30-34,Male,M,33,10294940,0.3
,2002,2002.0,35-39 years,35-39,Female,F,56,10800992,0.5
,2002,2002.0,35-39 years,35-39,Male,M,108,10750660,1.0
,2002,2002.0,40-44 years,40-44,Female,F,150,11426121,1.3
,2002,2002.0,40-44 years,40-44,Male,M,217,11249572,1.9
,2002,2002.0,45-49 years,45-49,Female,F,303,10681521,2.8
,2002,2002.0,45-49 years,45-49,Male,M,445,10367972,4.3
,2002,2002.0,50-54 years,50-54,Female,F,505,9479615,5.3
,2002,2002.0,50-54 years,50-54,Male,M,628,9080679,6.9
,2002,2002.0,55-59 years,55-59,Female,F,636,7726133,8.2
,2002,2002.0,55-59 years,55-59,Male,M,898,7270171,12.4
,2002,2002.0,60-64 years ,60-64,Female,F,779,5988972,13.0
,2002,2002.0,60-64 years ,60-64,Male,M,983,5453055,18.0
,2002,2002.0,65-69 years,65-69,Female,F,944,5109390,18.5
,2002,2002.0,65-69 years,65-69,Male,M,1195,4429186,27.0
,2002,2002.0,70-74 years,70-74,Female,F,1177,4803492,24.5
,2002,2002.0,70-74 years,70-74,Male,M,1352,3859965,35.0
,2002,2002.0,75-79 years,75-79,Female,F,1263,4326571,29.2
,2002,2002.0,75-79 years,75-79,Male,M,1409,3073916,45.8
,2002,2002.0,80-84 years,80-84,Female,F,1051,3264277,32.2
,2002,2002.0,80-84 years,80-84,Male,M,1014,1982284,51.2
,2002,2002.0,85+ years,85+,Female,F,862,3047614,28.3
,2002,2002.0,85+ years,85+,Male,M,632,1280112,49.4
,2003,2003.0,30-34 years,30-34,Female,F,22,10193818,0.2
,2003,2003.0,30-34 years,30-34,Male,M,49,10278392,0.5
,2003,2003.0,35-39 years,35-39,Female,F,68,10660101,0.6
,2003,2003.0,35-39 years,35-39,Male,M,80,10604058,0.8
,2003,2003.0,40-44 years,40-44,Female,F,157,11546602,1.4
,2003,2003.0,40-44 years,40-44,Male,M,217,11343445,1.9
,2003,2003.0,45-49 years,45-49,Female,F,325,11017265,2.9
,2003,2003.0,45-49 years,45-49,Male,M,389,10705411,3.6
,2003,2003.0,50-54 years,50-54,Female,F,527,9759654,5.4
,2003,2003.0,50-54 years,50-54,Male,M,660,9337624,7.1
,2003,2003.0,55-59 years,55-59,Female,F,723,8141956,8.9
,2003,2003.0,55-59 years,55-59,Male,M,954,7672601,12.4
,2003,2003.0,60-64 years ,60-64,Female,F,859,6377463,13.5
,2003,2003.0,60-64 years ,60-64,Male,M,1061,5816925,18.2
,2003,2003.0,65-69 years,65-69,Female,F,975,5253706,18.6
,2003,2003.0,65-69 years,65-69,Male,M,1195,4577090,26.1
,2003,2003.0,70-74 years,70-74,Female,F,1176,4794496,24.5
,2003,2003.0,70-74 years,70-74,Male,M,1402,3875623,36.2
,2003,2003.0,75-79 years,75-79,Female,F,1298,4365982,29.7
,2003,2003.0,75-79 years,75-79,Male,M,1442,3131860,46.0
,2003,2003.0,80-84 years,80-84,Female,F,1107,3347175,33.1
,2003,2003.0,80-84 years,80-84,Male,M,1075,2051421,52.4
